Country Name,Country Code,Series Name,Series Code,Year,Value
"Somalia, Fed. Rep.",SOM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2010,
"Somalia, Fed. Rep.",SOM,GDP per capita (current LCU),NY.GDP.PCAP.CN,2010,6854386.766699648
"Somalia, Fed. Rep.",SOM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2010,
"Somalia, Fed. Rep.",SOM,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,2010,
"Somalia, Fed. Rep.",SOM,"Population, total",SP.POP.TOTL,2010,12261756.0
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2010,3.961388891153851
Kenya,KEN,GDP per capita (current LCU),NY.GDP.PCAP.CN,2010,86484.46952511609
Kenya,KEN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2010,
Kenya,KEN,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,2010,107.04269199445191
Kenya,KEN,"Population, total",SP.POP.TOTL,2010,41598567.0
Uganda,UGA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2010,3.976552884781682
Uganda,UGA,GDP per capita (current LCU),NY.GDP.PCAP.CN,2010,1670759.5468306094
Uganda,UGA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2010,1.401
Uganda,UGA,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,2010,111.86062012920289
Uganda,UGA,"Population, total",SP.POP.TOTL,2010,32390802.0
South Sudan,SSD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2010,1.169621803011082
South Sudan,SSD,GDP per capita (current LCU),NY.GDP.PCAP.CN,2010,3453.3633293737416
South Sudan,SSD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2010,
South Sudan,SSD,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,2010,68.04689652804461
South Sudan,SSD,"Population, total",SP.POP.TOTL,2010,9745953.0
Rwanda,RWA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2010,-0.2461286934369337
Rwanda,RWA,GDP per capita (current LCU),NY.GDP.PCAP.CN,2010,346161.03837799525
Rwanda,RWA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2010,
Rwanda,RWA,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,2010,115.79334963008031
Rwanda,RWA,"Population, total",SP.POP.TOTL,2010,10317553.0
"Congo, Dem. Rep.",COD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2010,7.10000000000037
"Congo, Dem. Rep.",COD,GDP per capita (current LCU),NY.GDP.PCAP.CN,2010,319244.263836442
"Congo, Dem. Rep.",COD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2010,
"Congo, Dem. Rep.",COD,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,2010,107.60946575840916
